"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1860862749460627668","Mon Nov 25 02:02:54 +0000 2024","0","@Gerindra @prabowo Alhamdulillah","1860866722481451166","","Gerindra","in","","0","0","0","https://x.com/Jumiasri/status/1860866722481451166","608839364","Jumiasri"
"1860866694224494811","Mon Nov 25 02:02:47 +0000 2024","0","#DukungTransmigrasiPapua Prabowo Pemimpin Berpengalaman Pemimpin Inovatif https://t.co/rImQHEY3AC","1860866694224494811","https://pbs.twimg.com/media/GdMgZIkbIAA3gh-.jpg","","in","Medan Timur, Indonesia","0","0","0","https://x.com/Elissa08753769/status/1860866694224494811","1563646524696961024","Elissa08753769"
"1860816290052731094","Mon Nov 25 02:02:35 +0000 2024","0","@LuwisAlfredo Rakyat optimis dengan kepemimpinan Prabowo yang visioner. #MeraukeMakanBergiziGratis","1860866641401430282","","LuwisAlfredo","in","","0","0","0","https://x.com/siska_wulanda44/status/1860866641401430282","1702209170731335680","siska_wulanda44"
"1860667469377294398","Mon Nov 25 02:02:05 +0000 2024","0","@xquitavee @prabowo @ridwankamil @DediMulyadi71 Wkwkwk yg pojok pake topi bengong2 dah tau g bakalan jadi ","1860866516851494927","","xquitavee","in","","0","0","0","https://x.com/ikanguramerebus/status/1860866516851494927","1825570618961801216","ikanguramerebus"
"1860866225150267409","Mon Nov 25 02:00:55 +0000 2024","3","Prabowo Nyoblos di TPS 08 Bojongkoneng Bogor Ambulans Disiagakan https://t.co/n19OUlTBUT","1860866225150267409","","","in","","1","2","0","https://x.com/CNNIndonesia/status/1860866225150267409","17128975","CNNIndonesia"
"1860866224072298778","Mon Nov 25 02:00:55 +0000 2024","0","Hadiri CEO Roundtable Forum Presiden Prabowo Raih Komitmen Investasi 8 5 Miliar Dolar AS https://t.co/g7T48bW719","1860866224072298778","","","in","Pulo Gadung, Indonesia","0","0","0","https://x.com/haloindonesia88/status/1860866224072298778","917728330094280711","haloindonesia88"
"1860690057935659291","Mon Nov 25 02:00:46 +0000 2024","0","@tempodotco Prabowo seperti PLT Mulyono","1860866183815430247","","tempodotco","in","Kuranji, Indonesia","0","0","0","https://x.com/dedy_maryadi/status/1860866183815430247","1320771253","dedy_maryadi"
"1860750477312598402","Mon Nov 25 02:00:38 +0000 2024","0","@LuwisAlfredo Pak Prabowo terima kasih! Program ini sangat membantu kesehatan anak-anak. #PapuaBergizi","1860866150185451680","","LuwisAlfredo","in","","0","0","0","https://x.com/wage_januar/status/1860866150185451680","1701472538214518784","wage_januar"
"1860866127796335008","Mon Nov 25 02:00:32 +0000 2024","0","Menunggu Keputusan Presiden Prabowo yang Baru Pulang Lawatan: PPN Jadi Naik atau Tidak? https://t.co/cg1L83hEol","1860866127796335008","","","in","Jakarta Capital Region","0","0","0","https://x.com/SamudraFakta/status/1860866127796335008","1590907382342635520","SamudraFakta"
"1860663491293561321","Mon Nov 25 02:00:30 +0000 2024","0","@yusing Itu dia hasil permainan culas Hinanto @jokowi kupret. Harusnya Bapak @prabowo mengembalikan ke situasi semula sebelum dirusak Hinanto.","1860866120372347154","","yusing","in","","0","2","0","https://x.com/Amri_Opinion/status/1860866120372347154","1850732406745223168","Amri_Opinion"
"1860750477312598402","Mon Nov 25 02:00:29 +0000 2024","0","@LuwisAlfredo Terima kasih Pak Prabowo! Program ini meningkatkan kualitas pendidikan anak-anak! #PapuaBergizi","1860866112512246208","","LuwisAlfredo","in","","0","0","0","https://x.com/qumala_zeva/status/1860866112512246208","1698961798450532352","qumala_zeva"
"1860639169036587469","Mon Nov 25 02:00:28 +0000 2024","0","@CatalystStrike @mang_Deddy @DokterTifa blok blok gw ga perna suka ama gibran Prabowo gw nyoblos anies kmaren karna gw gamau dinasti tapi realita ya realita politik itu abu abu bukan item putih kek yg otak dongo lu pikirin","1860866109735571456","","CatalystStrike","in","","0","0","0","https://x.com/xel4life/status/1860866109735571456","297308925","xel4life"
"1860750477312598402","Mon Nov 25 02:00:22 +0000 2024","0","@LuwisAlfredo Pak Prabowo emang hebat! Program ini sangat bermanfaat untuk rakyat. #PapuaBergizi","1860866086033596733","","LuwisAlfredo","in","","0","0","0","https://x.com/mhmmd_ridwan65/status/1860866086033596733","1681962778347868163","mhmmd_ridwan65"
"1860750477312598402","Mon Nov 25 02:00:15 +0000 2024","0","@LuwisAlfredo Wah program ini bikin kita semua lebih sehat. Bravo Pak Prabowo! #PapuaBergizi","1860866056316948814","","LuwisAlfredo","in","","0","0","0","https://x.com/rosali_estre3/status/1860866056316948814","1684112943997423616","rosali_estre3"
"1860865988256059847","Mon Nov 25 01:59:59 +0000 2024","37","Gaes ingat ya di pilkada 2024 ini jangan pilih calon yg di dukung Prabowo dan Jokowi. Ingat pajak PPN naik 12% Stop cukup kesalahan kita di pilpres kemarin Saja https://t.co/djMQFt4qbv","1860865988256059847","https://pbs.twimg.com/media/GdMfwTba4AA1N46.jpg","","in","","8","8","20","https://x.com/DS_yantie/status/1860865988256059847","1374686160748830724","DS_yantie"
"1860331362563293460","Mon Nov 25 01:59:38 +0000 2024","0","@Boediantar4 Pak prabowo..ini menteri pemecah belah masih di pelihara","1860865901190623716","","Boediantar4","in","","0","0","0","https://x.com/Mu84938650Iqbal/status/1860865901190623716","1514843365275475969","Mu84938650Iqbal"
"1860862749460627668","Mon Nov 25 01:59:36 +0000 2024","0","@Gerindra @prabowo Mantap pak prabowo","1860865890943983925","","Gerindra","in","","0","0","0","https://x.com/LeonelM62174475/status/1860865890943983925","1597131082243387393","LeonelM62174475"
"1860527915970216058","Mon Nov 25 01:59:18 +0000 2024","0","@DokterTifa @prabowo Prabowo seperti PLT Mulyono periode 3","1860865816386015489","","DokterTifa","in","Kuranji, Indonesia","0","0","0","https://x.com/dedy_maryadi/status/1860865816386015489","1320771253","dedy_maryadi"
"1860750477312598402","Mon Nov 25 01:59:12 +0000 2024","0","@LuwisAlfredo Prabowo pemimpin yang siap mendengarkan suara rakyat. #PapuaBergizi","1860865792449089913","","LuwisAlfredo","in","","0","0","0","https://x.com/taufik_haryo29/status/1860865792449089913","1701513885789179904","taufik_haryo29"
